instruction,input,output
Interpret OBD-II code P0143,,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3)
Interpret OBD-II code P0144,,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
Interpret OBD-II code P0145,,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3)
Interpret OBD-II code P0146,,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3)
Interpret OBD-II code P0147,,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3)
Interpret OBD-II code P0150,,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3)
Interpret OBD-II code P0151,,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
Interpret OBD-II code P0152,,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
Interpret OBD-II code P0153,,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1)
Interpret OBD-II code P0154,,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)
Interpret OBD-II code P0155,,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
Interpret OBD-II code P0156,,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
Interpret OBD-II code P0157,,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2)
Interpret OBD-II code P0158,,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
Interpret OBD-II code P0159,,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2)
Interpret OBD-II code P0160,,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2)
Interpret OBD-II code P0161,,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
Interpret OBD-II code P0162,,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
Interpret OBD-II code P0163,,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3)
Interpret OBD-II code P0164,,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
Interpret OBD-II code P0165,,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3)
Interpret OBD-II code P0166,,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3)
Interpret OBD-II code P0167,,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
Interpret OBD-II code P0170,,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
Interpret OBD-II code P0171,,Fuel Trim Malfunction (Bank 1)
Interpret OBD-II code P0172,,Fuel Trim System Lean (Bank 1)
Interpret OBD-II code P0173,,Fuel Trim too Rich (Bank 1)
Interpret OBD-II code P0174,,Fuel Trim Malfunction (Bank 2)
Interpret OBD-II code P0175,,Fuel Trim too Lean (Bank 2)
Interpret OBD-II code P0176,,Fuel Trim too Rich (Bank 2)
Interpret OBD-II code P0177,,Fuel Composition Sensor Circuit Malfunction
Interpret OBD-II code P0178,,Fuel Composition Sensor Circuit Range/Performance
Interpret OBD-II code P0179,,Fuel Composition Sensor Circuit Low Input
Interpret OBD-II code P0180,,Fuel Composition Sensor Circuit High Input
Interpret OBD-II code P0181,,Fuel Temperature Sensor A Circuit Malfunction
Interpret OBD-II code P0182,,Fuel Temperature Sensor A Circuit Range/Performance
Interpret OBD-II code P0183,,Fuel Temperature Sensor A Circuit Low Input
Interpret OBD-II code P0184,,Fuel Temperature Sensor A Circuit High Input
Interpret OBD-II code P0185,,Fuel Temperature Sensor A Circuit Intermittent
Interpret OBD-II code P0186,,Fuel Temperature Sensor B Circuit Malfunction
Interpret OBD-II code P0187,,Fuel Temperature Sensor B Circuit Range/Performance
Interpret OBD-II code P0188,,Fuel Temperature Sensor B Circuit Low Input
Interpret OBD-II code P0189,,Fuel Temperature Sensor B Circuit High Input
Interpret OBD-II code P0190,,Fuel Temperature Sensor B Circuit Intermittent
Interpret OBD-II code P0191,,Fuel Rail Pressure Sensor Circuit Malfunction
Interpret OBD-II code P0192,,Fuel Rail Pressure Sensor Circuit Range/Performance
Interpret OBD-II code P0193,,Fuel Rail Pressure Sensor Circuit Low Input
Interpret OBD-II code P0194,,Fuel Rail Pressure Sensor Circuit High Input
Interpret OBD-II code P0195,,Fuel Rail Pressure Sensor Circuit Intermittent
Interpret OBD-II code P0196,,Engine Oil Temperature Sensor Malfunction
Interpret OBD-II code P0197,,Engine Oil Temperature Sensor Range/Performance
Interpret OBD-II code P0198,,Engine Oil Temperature Sensor Low
Interpret OBD-II code P0199,,Engine Oil Temperature Sensor High
Interpret OBD-II code P0200,,Engine Oil Temperature Sensor Intermittent
Interpret OBD-II code P0201,,Injector Circuit Malfunction
Interpret OBD-II code P0202,,Injector Circuit Malfunction - Cylinder 1
Interpret OBD-II code P0203,,Injector Circuit Malfunction - Cylinder 2
Interpret OBD-II code P0204,,Injector Circuit Malfunction - Cylinder 3
Interpret OBD-II code P0205,,Injector Circuit Malfunction - Cylinder 4
Interpret OBD-II code P0206,,Injector Circuit Malfunction - Cylinder 5
Interpret OBD-II code P0207,,Injector Circuit Malfunction - Cylinder 6
Interpret OBD-II code P0208,,Injector Circuit Malfunction - Cylinder 7
Interpret OBD-II code P0209,,Injector Circuit Malfunction - Cylinder 8
Interpret OBD-II code P0210,,Injector Circuit Malfunction - Cylinder 9
Interpret OBD-II code P0211,,Injector Circuit Malfunction - Cylinder 10
Interpret OBD-II code P0212,,Injector Circuit Malfunction - Cylinder 11
Interpret OBD-II code P0213,,Injector Circuit Malfunction - Cylinder 12
Interpret OBD-II code P0214,,Cold Start Injector 1 Malfunction
Interpret OBD-II code P0215,,Cold Start Injector 2 Malfunction
Interpret OBD-II code P0216,,Engine Shutoff Solenoid Malfunction
Interpret OBD-II code P0217,,Injection Timing Control Circuit Malfunction
Interpret OBD-II code P0218,,Engine Overtemp Condition
Interpret OBD-II code P0219,,Transmission Over Temperature Condition
Interpret OBD-II code P0220,,Engine Overspeed Condition
Interpret OBD-II code P0221,,Throttle/Petal Position Sensor/Switch B Circuit Malfunction
Interpret OBD-II code P0222,,Throttle/Petal Position Sensor/Switch B Circuit Range/Performance Problem
Interpret OBD-II code P0223,,Throttle/Petal Position Sensor/Switch B Circuit Low Input
Interpret OBD-II code P0224,,Throttle/Petal Position Sensor/Switch B Circuit High Input
Interpret OBD-II code P0225,,Throttle/Petal Position Sensor/Switch B Circuit Intermittent
Interpret OBD-II code P0226,,Throttle/Petal Position Sensor/Switch C Circuit Malfunction
Interpret OBD-II code P0227,,Throttle/Petal Position Sensor/Switch C Circuit Range/Performance Problem
Interpret OBD-II code P0228,,Throttle/Petal Position Sensor/Switch C Circuit Low Input
Interpret OBD-II code P0229,,Throttle/Petal Position Sensor/Switch C Circuit High Input
Interpret OBD-II code P0230,,Throttle/Petal Position Sensor/Switch C Circuit Intermittent
Interpret OBD-II code P0231,,Fuel Pump Primary Circuit Malfunction
Interpret OBD-II code P0232,,Fuel Pump Secondary Circuit Low
Interpret OBD-II code P0233,,Fuel Pump Secondary Circuit High
Interpret OBD-II code P0234,,Fuel Pump Secondary Circuit Intermittent
Interpret OBD-II code P0235,,Engine Overboost Condition
Interpret OBD-II code P0236,,Turbocharger Boost Sensor A Circuit Malfunction
Interpret OBD-II code P0237,,Turbocharger Boost Sensor A Circuit Range/Performance
Interpret OBD-II code P0238,,Turbocharger Boost Sensor A Circuit Low
Interpret OBD-II code P0239,,Turbocharger Boost Sensor A Circuit High
Interpret OBD-II code P0240,,Turbocharger Boost Sensor B Malfunction
Interpret OBD-II code P0241,,Turbocharger Boost Sensor B Circuit Range/Performance
Interpret OBD-II code P0242,,Turbocharger Boost Sensor B Circuit Low
Interpret OBD-II code P0243,,Turbocharger Boost Sensor B Circuit High
Interpret OBD-II code P0244,,Turbocharger Wastegate Solenoid A Malfunction
Interpret OBD-II code P0245,,Turbocharger Wastegate Solenoid A Range/Performance
Interpret OBD-II code P0246,,Turbocharger Wastegate Solenoid A Low
Interpret OBD-II code P0247,,Turbocharger Wastegate Solenoid A High
Interpret OBD-II code P0248,,Turbocharger Wastegate Solenoid B Malfunction
Interpret OBD-II code P0249,,Turbocharger Wastegate Solenoid B Range/Performance
Interpret OBD-II code P0250,,Turbocharger Wastegate Solenoid B Low
Interpret OBD-II code P0251,,Turbocharger Wastegate Solenoid B High
Interpret OBD-II code P0252,,"Injection Pump Fuel Metering Control ""A"" Malfunction (Cam/Rotor/Injector)"
Interpret OBD-II code P0253,,"Injection Pump Fuel Metering Control ""A"" Range/Performance (Cam/Rotor/Injector)"
Interpret OBD-II code P0254,,"Injection Pump Fuel Metering Control ""A"" Low (Cam/Rotor/Injector)"
Interpret OBD-II code P0255,,"Injection Pump Fuel Metering Control ""A"" High (Cam/Rotor/Injector)"
Interpret OBD-II code P0256,,"Injection Pump Fuel Metering Control ""A"" Intermittent (Cam/Rotor/Injector)"
Interpret OBD-II code P0257,,"Injection Pump Fuel Metering Control ""B"" Malfunction (Cam/Rotor/Injector)"
Interpret OBD-II code P0258,,"Injection Pump Fuel Metering Control ""B"" Range/Performance (Cam/Rotor/Injector)"
Interpret OBD-II code P0259,,"Injection Pump Fuel Metering Control ""B"" Low (Cam/Rotor/Injector)"
Interpret OBD-II code P0260,,"Injection Pump Fuel Metering Control ""B"" High (Cam/Rotor/Injector)"
Interpret OBD-II code P0261,,"Injection Pump Fuel Metering Control ""B"" Intermittent (Cam/Rotor/Injector)"
Interpret OBD-II code P0262,,Cylinder 1 Injector Circuit Low
Interpret OBD-II code P0263,,Cylinder 1 Injector Circuit High
Interpret OBD-II code P0264,,Cylinder 1 Contribution/Balance Fault
Interpret OBD-II code P0265,,Cylinder 2 Injector Circuit Low
Interpret OBD-II code P0266,,Cylinder 2 Injector Circuit High
Interpret OBD-II code P0267,,Cylinder 2 Contribution/Balance Fault
Interpret OBD-II code P0268,,Cylinder 3 Injector Circuit Low
Interpret OBD-II code P0269,,Cylinder 3 Injector Circuit High
Interpret OBD-II code P0270,,Cylinder 3 Contribution/Balance Fault
Interpret OBD-II code P0271,,Cylinder 4 Injector Circuit Low
Interpret OBD-II code P0272,,Cylinder 4 Injector Circuit High
Interpret OBD-II code P0273,,Cylinder 4 Contribution/Balance Fault
Interpret OBD-II code P0274,,Cylinder 5 Injector Circuit Low
Interpret OBD-II code P0275,,Cylinder 5 Injector Circuit High
Interpret OBD-II code P0276,,Cylinder 5 Contribution/Balance Fault
Interpret OBD-II code P0277,,Cylinder 6 Injector Circuit Low
Interpret OBD-II code P0278,,Cylinder 6 Injector Circuit High
Interpret OBD-II code P0279,,Cylinder 6 Contribution/Balance Fault
Interpret OBD-II code P0280,,Cylinder 7 Injector Circuit Low
Interpret OBD-II code P0281,,Cylinder 7 Injector Circuit High
Interpret OBD-II code P0282,,Cylinder 7 Contribution/Balance Fault
Interpret OBD-II code P0283,,Cylinder 8 Injector Circuit Low
Interpret OBD-II code P0284,,Cylinder 8 Injector Circuit High
Interpret OBD-II code P0285,,Cylinder 8 Contribution/Balance Fault
Interpret OBD-II code P0286,,Cylinder 9 Injector Circuit Low
Interpret OBD-II code P0287,,Cylinder 9 Injector Circuit High
Interpret OBD-II code P0288,,Cylinder 9 Contribution/Balance Fault
Interpret OBD-II code P0289,,Cylinder 10 Injector Circuit Low
Interpret OBD-II code P0290,,Cylinder 10 Injector Circuit High
Interpret OBD-II code P0291,,Cylinder 10 Contribution/Balance Fault
Interpret OBD-II code P0292,,Cylinder 11 Injector Circuit Low
Interpret OBD-II code P0293,,Cylinder 11 Injector Circuit High
Interpret OBD-II code P0294,,Cylinder 11 Contribution/Balance Fault
Interpret OBD-II code P0295,,Cylinder 12 Injector Circuit Low
Interpret OBD-II code P0296,,Cylinder 12 Injector Circuit High
Interpret OBD-II code P0300,,Cylinder 12 Contribution/Range Fault
Interpret OBD-II code P0301,,Random/Multiple Cylinder Misfire Detected
Interpret OBD-II code P0302,,Cylinder 1 Misfire Detected
Interpret OBD-II code P0303,,Cylinder 2 Misfire Detected
Interpret OBD-II code P0304,,Cylinder 3 Misfire Detected
Interpret OBD-II code P0305,,Cylinder 4 Misfire Detected
Interpret OBD-II code P0306,,Cylinder 5 Misfire Detected
Interpret OBD-II code P0307,,Cylinder 6 Misfire Detected
Interpret OBD-II code P0308,,Cylinder 7 Misfire Detected
Interpret OBD-II code P0309,,Cylinder 8 Misfire Detected
Interpret OBD-II code P0310,,Cylinder 9 Misfire Detected
Interpret OBD-II code P0311,,Cylinder 10 Misfire Detected
Interpret OBD-II code P0312,,Cylinder 11 Misfire Detected
Interpret OBD-II code P0320,,Cylinder 12 Misfire Detected
Interpret OBD-II code P0321,,Ignition/Distributor Engine Speed Input Circuit Malfunction
Interpret OBD-II code P0322,,Ignition/Distributor Engine Speed Input Circuit Range/Performance
Interpret OBD-II code P0323,,Ignition/Distributor Engine Speed Input Circuit No Signal
Interpret OBD-II code P0325,,Ignition/Distributor Engine Speed Input Circuit Intermittent
Interpret OBD-II code P0326,,Knock Sensor 1 Circuit Malfunction (Bank 1 or Single Sensor)
Interpret OBD-II code P0327,,Knock Sensor 1 Circuit Range/Performance (Bank 1 or Single Sensor)
Interpret OBD-II code P0328,,Knock Sensor 1 Circuit Low Input (Bank 1 or Single Sensor)
Interpret OBD-II code P0329,,Knock Sensor 1 Circuit High Input (Bank 1 or Single Sensor)
Interpret OBD-II code P0330,,Knock Sensor 1 Circuit Intermittent (Bank 1 or Single Sensor)
Interpret OBD-II code P0331,,Knock Sensor 2 Circuit Malfunction (Bank 2)
Interpret OBD-II code P0332,,Knock Sensor 2 Circuit Range/Performance (Bank 2)
Interpret OBD-II code P0333,,Knock Sensor 2 Circuit Low Input (Bank 2)
Interpret OBD-II code P0334,,Knock Sensor 2 Circuit High Input (Bank 2)
Interpret OBD-II code P0335,,Knock Sensor 2 Circuit Intermittent (Bank 2)
Interpret OBD-II code P0336,,Crankshaft Position Sensor A Circuit Malfunction
Interpret OBD-II code P0337,,Crankshaft Position Sensor A Circuit Range/Performance
Interpret OBD-II code P0338,,Crankshaft Position Sensor A Circuit Low Input
Interpret OBD-II code P0339,,Crankshaft Position Sensor A Circuit High Input
Interpret OBD-II code P0340,,Crankshaft Position Sensor A Circuit Intermittent
Interpret OBD-II code P0341,,Camshaft Position Sensor Circuit Malfunction
Interpret OBD-II code P0342,,Camshaft Position Sensor Circuit Range/Performance
Interpret OBD-II code P0343,,Camshaft Position Sensor Circuit Low Input
Interpret OBD-II code P0344,,Camshaft Position Sensor Circuit High Input
Interpret OBD-II code P0350,,Camshaft Position Sensor Circuit Intermittent
Interpret OBD-II code P0351,,Ignition Coil Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0352,,Ignition Coil A Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0353,,Ignition Coil B Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0354,,Ignition Coil C Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0355,,Ignition Coil D Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0356,,Ignition Coil E Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0357,,Ignition Coil F Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0358,,Ignition Coil G Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0359,,Ignition Coil H Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0360,,Ignition Coil I Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0361,,Ignition Coil J Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0362,,Ignition Coil K Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0370,,Ignition Coil L Primary/Secondary Circuit Malfunction
Interpret OBD-II code P0371,,Timing Reference High Resolution Signal A Malfunction
Interpret OBD-II code P0372,,Timing Reference High Resolution Signal A Too Many Pulses
Interpret OBD-II code P0373,,Timing Reference High Resolution Signal A Too Few Pulses
Interpret OBD-II code P0374,,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses
Interpret OBD-II code P0375,,Timing Reference High Resolution Signal A No Pulses
Interpret OBD-II code P0376,,Timing Reference High Resolution Signal B Malfunction
Interpret OBD-II code P0377,,Timing Reference High Resolution Signal B Too Many Pulses
Interpret OBD-II code P0378,,Timing Reference High Resolution Signal B Too Few Pulses
Interpret OBD-II code P0379,,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses
Interpret OBD-II code P0380,,Timing Reference High Resolution Signal B No Pulses
Interpret OBD-II code P0381,,"Glow Plug/Heater Circuit ""A"" Malfunction"
Interpret OBD-II code P0382,,Glow Plug/Heater Indicator Circuit Malfunction
Interpret OBD-II code P0385,,Exhaust Gas Recirculation Flow Malfunction
Interpret OBD-II code P0386,,Crankshaft Position Sensor B Circuit Malfunction
Interpret OBD-II code P0387,,Crankshaft Position Sensor B Circuit Range/Performance
Interpret OBD-II code P0388,,Crankshaft Position Sensor B Circuit Low Input
Interpret OBD-II code P0389,,Crankshaft Position Sensor B Circuit High Input
Interpret OBD-II code P0400,,Crankshaft Position Sensor B Circuit Intermittent
Interpret OBD-II code P0401,,Exhaust Gas Recirculation Flow Malfunction
Interpret OBD-II code P0402,,Exhaust Gas Recirculation Flow Insufficient Detected
Interpret OBD-II code P0403,,Exhaust Gas Recirculation Flow Excessive Detected
Interpret OBD-II code P0404,,Exhaust Gas Recirculation Circuit Malfunction
Interpret OBD-II code P0405,,Exhaust Gas Recirculation Circuit Range/Performance
Interpret OBD-II code P0406,,Exhaust Gas Recirculation Sensor A Circuit Low
Interpret OBD-II code P0407,,Exhaust Gas Recirculation Sensor A Circuit High
Interpret OBD-II code P0408,,Exhaust Gas Recirculation Sensor B Circuit Low
Interpret OBD-II code P0410,,Exhaust Gas Recirculation Sensor B Circuit High
Interpret OBD-II code P0411,,Secondary Air Injection System Malfunction
Interpret OBD-II code P0412,,Secondary Air Injection System Incorrect Flow Detected
Interpret OBD-II code P0413,,Secondary Air Injection System Switching Valve A Circuit Malfunction
Interpret OBD-II code P0414,,Secondary Air Injection System Switching Valve A Circuit Open
Interpret OBD-II code P0415,,Secondary Air Injection System Switching Valve A Circuit Shorted
Interpret OBD-II code P0416,,Secondary Air Injection System Switching Valve B Circuit Malfunction
Interpret OBD-II code P0417,,Secondary Air Injection System Switching Valve B Circuit Open
Interpret OBD-II code P0418,,Secondary Air Injection System Switching Valve B Circuit Shorted
Interpret OBD-II code P0419,,"Secondary Air Injection System Relay ""A"" Circuit Malfunction"
Interpret OBD-II code P0420,,"Secondary Air Injection System Relay ""B"" Circuit Malfunction"
Interpret OBD-II code P0421,,Catalyst System Efficiency Below Threshold (Bank 1)
Interpret OBD-II code P0422,,Warm Up Catalyst Efficiency Below Threshold (Bank 1)
Interpret OBD-II code P0423,,Main Catalyst Efficiency Below Threshold (Bank 1)
Interpret OBD-II code P0424,,Heated Catalyst Efficiency Below Threshold (Bank 1)
Interpret OBD-II code P0426,,Heated Catalyst Temperature Below Threshold (Bank 1)
Interpret OBD-II code P0427,,Catalyst Temperature Sensor Range/Performance (Bank 1)
Interpret OBD-II code P0428,,Catalyst Temperature Sensor Low Input (Bank 1)
Interpret OBD-II code P0430,,Catalyst Temperature Sensor High Input (Bank 1)
Interpret OBD-II code P0431,,Catalyst System Efficiency Below Threshold (Bank 2)
Interpret OBD-II code P0432,,Warm Up Catalyst Efficiency Below Threshold (Bank 2)
Interpret OBD-II code P0433,,Main Catalyst Efficiency Below Threshold (Bank 2)
Interpret OBD-II code P0434,,Heated Catalyst Efficiency Below Threshold (Bank 2)
Interpret OBD-II code P0436,,Heated Catalyst Temperature Below Threshold (Bank 2)
Interpret OBD-II code P0437,,Catalyst Temperature Sensor Range/Performance (Bank 2)
Interpret OBD-II code P0438,,Catalyst Temperature Sensor Low Input (Bank 2)
Interpret OBD-II code P0440,,Catalyst Temperature Sensor High Input (Bank 2)
Interpret OBD-II code P0441,,Evaporative Emission Control System Malfunction
Interpret OBD-II code P0442,,Evaporative Emission Control System Incorrect Purge Flow
Interpret OBD-II code P0443,,Evaporative Emission Control System Leak Detected (small leak)
Interpret OBD-II code P0444,,Evaporative Emission Control System Purge Control Valve Circuit Malfunction
Interpret OBD-II code P0445,,Evaporative Emission Control System Purge Control Valve Circuit Open
Interpret OBD-II code P0446,,Evaporative Emission Control System Purge Control Valve Circuit Shorted
Interpret OBD-II code P0447,,Evaporative Emission Control System Vent Control Circuit Malfunction
Interpret OBD-II code P0448,,Evaporative Emission Control System Vent Control Circuit Open
Interpret OBD-II code P0449,,Evaporative Emission Control System Vent Control Circuit Shorted
Interpret OBD-II code P0450,,Evaporative Emission Control System Vent Valve/Solenoid Circuit Malfunction
Interpret OBD-II code P0451,,Evaporative Emission Control System Pressure Sensor Malfunction
Interpret OBD-II code P0452,,Evaporative Emission Control System Pressure Sensor Range/Performance
Interpret OBD-II code P0453,,Evaporative Emission Control System Pressure Sensor Low Input
Interpret OBD-II code P0454,,Evaporative Emission Control System Pressure Sensor High Input
Interpret OBD-II code P0455,,Evaporative Emission Control System Pressure Sensor Intermittent
Interpret OBD-II code P0460,,Evaporative Emission Control System Leak Detected (gross leak)
Interpret OBD-II code P0461,,Fuel Level Sensor Circuit Malfunction
Interpret OBD-II code P0462,,Fuel Level Sensor Circuit Range/Performance
Interpret OBD-II code P0463,,Fuel Level Sensor Circuit Low Input
Interpret OBD-II code P0464,,Fuel Level Sensor Circuit High Input
Interpret OBD-II code P0465,,Fuel Level Sensor Circuit Intermittent
Interpret OBD-II code P0466,,Purge Flow Sensor Circuit Malfunction
Interpret OBD-II code P0467,,Purge Flow Sensor Circuit Range/Performance
Interpret OBD-II code P0468,,Purge Flow Sensor Circuit Low Input
Interpret OBD-II code P0469,,Purge Flow Sensor Circuit High Input
Interpret OBD-II code P0470,,Purge Flow Sensor Circuit Intermittent
Interpret OBD-II code P0471,,Exhaust Pressure Sensor Malfunction
Interpret OBD-II code P0472,,Exhaust Pressure Sensor Range/Performance
Interpret OBD-II code P0473,,Exhaust Pressure Sensor Low
Interpret OBD-II code P0474,,Exhaust Pressure Sensor High
Interpret OBD-II code P0475,,Exhaust Pressure Sensor Intermittent
Interpret OBD-II code P0476,,Exhaust Pressure Control Valve Malfunction
Interpret OBD-II code P0477,,Exhaust Pressure Control Valve Range/Performance
Interpret OBD-II code P0478,,Exhaust Pressure Control Valve Low
Interpret OBD-II code P0479,,Exhaust Pressure Control Valve High
Interpret OBD-II code P0480,,Exhaust Pressure Control Valve Intermittent
Interpret OBD-II code P0481,,Cooling Fan 1 Control Circuit Malfunction
Interpret OBD-II code P0482,,Cooling Fan 2 Control Circuit Malfunction
Interpret OBD-II code P0483,,Cooling Fan 3 Control Circuit Malfunction
Interpret OBD-II code P0484,,Cooling Fan Rationality Check Malfunction
Interpret OBD-II code P0485,,Cooling Fan Circuit Over Current
Interpret OBD-II code P0500,,Cooling Fan Power/Ground Circuit Malfunction
Interpret OBD-II code P0501,,Vehicle Speed Sensor Malfunction
Interpret OBD-II code P0502,,Vehicle Speed Sensor Range/Performance
Interpret OBD-II code P0503,,Vehicle Speed Sensor Low Input
Interpret OBD-II code P0505,,Vehicle Speed Sensor Intermittent/Erratic/High
Interpret OBD-II code P0506,,Idle Control System Malfunction
Interpret OBD-II code P0507,,Idle Control System RPM Lower Than Expected
Interpret OBD-II code P0510,,Idle Control System RPM Higher Than Expected
Interpret OBD-II code P0520,,Closed Throttle Position Switch Malfunction
Interpret OBD-II code P0521,,Engine Oil Pressure Sensor/Switch Circuit Malfunction
Interpret OBD-II code P0522,,Engine Oil Pressure Sensor/Switch Circuit Range/Performance
Interpret OBD-II code P0523,,Engine Oil Pressure Sensor/Switch Circuit Low Voltage
Interpret OBD-II code P0530,,Engine Oil Pressure Sensor/Switch Circuit High Voltage
Interpret OBD-II code P0531,,A/C Refrigerant Pressure Sensor Circuit Malfunction
Interpret OBD-II code P0532,,A/C Refrigerant Pressure Sensor Circuit Range/Performance
Interpret OBD-II code P0533,,A/C Refrigerant Pressure Sensor Circuit Low Input
Interpret OBD-II code P0534,,A/C Refrigerant Pressure Sensor Circuit High Input
Interpret OBD-II code P0550,,Air Conditioner Refrigerant Charge Loss
Interpret OBD-II code P0551,,Power Steering Pressure Sensor Circuit Malfunction
Interpret OBD-II code P0552,,Power Steering Pressure Sensor Circuit Range/Performance
Interpret OBD-II code P0553,,Power Steering Pressure Sensor Circuit Low Input
Interpret OBD-II code P0554,,Power Steering Pressure Sensor Circuit High Input
Interpret OBD-II code P0560,,Power Steering Pressure Sensor Circuit Intermittent
Interpret OBD-II code P0561,,System Voltage Malfunction
Interpret OBD-II code P0562,,System Voltage Unstable
